,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,fcas_cleared_power,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
38,2.7543419479934902e-09,81.0,gen,-0.00015621997771902448,-299.99999999300894,0,193.98,gen,70.0,193.98,81.0,30.0,1028.99983522709,2018-06-01 23:30:00
39,6.011928782820716e-08,69.27,gen,-9.790077599692595e-05,-300.000000092638,0,209.72,gen,70.0,209.72,69.27,11.99,728.9996790141033,2018-06-02
40,7.542882095115577e-09,64.33,gen,-0.00021310303640998993,-128.9995810643221,0,143.89,gen,70.0,143.89,64.33,13.42004,428.99958102068933,2018-06-02 00:30:00
41,-3.874569158185757e-07,61.0,gen,1.8231038362240278e-07,-299.9997905508197,0,159.21,gen,63.0,159.21,61.0,12.51,299.9997868533309,2018-06-02 01:00:00
42,4.262070862282393e-08,60.95,gen,-0.00025670855736949395,0,299.9999998871899,110.47,load,63.0,110.47,60.95,18.89,0,2018-06-02 01:30:00
43,-4.21629052682013e-07,41.0,gen,-3.636106052742241e-05,-299.9997494240347,0,129.55,gen,63.0,129.55,41.0,25.81,299.99974317863257,2018-06-02 02:00:00
44,6.885293488580371e-08,41.0,gen,-3.6606301034539955e-05,0,129.00000394296205,79.7,load,63.0,79.7,41.0,27.81,0,2018-06-02 02:30:00
45,3.504838701835749e-08,41.0,gen,-3.6589398675348605e-05,0,300.0000085087226,78.42,load,63.0,78.42,41.0,27.81,128.99996733666103,2018-06-02 03:00:00
46,-2.622003913490261e-08,41.0,gen,-3.6558764638631476e-05,0,300.00002719659875,73.18,load,63.0,73.18,41.0,28.98,428.99993925598494,2018-06-02 03:30:00
47,-9.486052094361377e-08,41.0,gen,-3.6524444533882725e-05,0,300.0000609655094,74.91,load,63.0,74.91,41.0,25.81,728.9999298938191,2018-06-02 04:00:00
48,-2.5775946706322955e-08,41.0,gen,-3.6558986625488595e-05,-299.9999793980699,0,86.19,gen,63.0,86.19,41.0,28.5,1028.999954334884,2018-06-02 04:30:00
49,1.3585033984216643e-10,41.0,gen,-3.657194250726552e-05,0,300.0000349238257,81.17,load,63.0,81.17,41.0,27.81,728.9999383778274,2018-06-02 05:00:00
50,-3.2203196641514e-08,41.0,gen,-3.655577300887275e-05,-299.99996927977327,0,85.35,gen,63.0,85.35,41.0,25.99,1028.9999367297105,2018-06-02 05:30:00
51,-1.1803578611902382e-07,43.67,gen,2.3559823896778312e-05,0,300.0000680808336,73.53,load,63.0,73.53,43.67,18.89,728.9999308941642,2018-06-02 06:00:00
52,3.066823524718524e-09,53.48,gen,-0.00017595405486807282,-300.00000000609225,0,126.06,gen,63.0,126.06,53.48,18.25,1029,2018-06-02 06:30:00
53,1.1568117874166545e-08,63.66,gen,-0.00023976108194908902,-299.9999999403803,0,124.59,gen,70.0,124.59,63.66,27.561,728.9998240398529,2018-06-02 07:00:00
54,8.230608960080803e-09,68.72,gen,-9.050015666961634e-05,0,299.99999997279224,100.63,load,70.0,100.63,68.72,30.0,428.99958433839066,2018-06-02 07:30:00
55,1.157141456332525e-08,75.23,gen,9.12659138997026e-06,0,171.00050629723972,113.05,load,70.0,113.05,75.23,30.0,728.9994938110262,2018-06-02 08:00:00
56,3.622791755806565e-08,61.0,gen,-1.7072190859463956e-08,-300.00000306471077,0,147.29,gen,63.0,147.29,61.0,24.52542,900.0000092348573,2018-06-02 08:30:00
57,1.9223401767283894e-08,60.67,gen,0.00016648889347661462,-300.0000030200657,0,135.98,gen,63.0,135.98,60.67,30.0,600.0000061530743,2018-06-02 09:00:00
58,4.0867885895470536e-07,58.18,gen,0.00022655325747178177,-300.0001673550887,0,162.44,gen,63.0,162.44,58.18,26.38594,300.00016962190205,2018-06-02 09:30:00
59,3.629654090576288e-08,61.0,gen,-1.710447842610977e-08,0,299.99999268610367,98.45,load,63.0,98.45,61.0,20.59,0.00022882007078806055,2018-06-02 10:00:00
60,4.760366538110106e-08,71.88,gen,-0.00029998160048890963,0,299.99998983796604,99.52,load,70.0,99.52,71.88,14.9,300.00022148907,2018-06-02 10:30:00
61,1.3654733126003147e-08,71.64,gen,-0.0003056344987476412,-299.999993280763,0,118.95,gen,70.0,118.95,71.64,15.5892,599.9999113454355,2018-06-02 11:00:00
62,-6.323435066187246e-10,62.43,gen,-0.00022107174098308832,-299.9996124016209,0,106.7,gen,70.0,106.7,62.43,11.99,299.9996124301737,2018-06-02 11:30:00
63,4.177956880302761e-09,61.0,gen,-1.989754308223183e-09,-6.239999345353173e-08,0,106.28,gen,63.0,106.28,61.0,17.46,0,2018-06-02 12:00:00
64,4.186079865431461e-09,54.47,gen,7.540685471444877e-05,-8.933268482014624e-08,0,105.77,gen,63.0,105.77,54.47,15.13026,0,2018-06-02 12:30:00
65,1.138553636395138e-08,55.25,gen,9.145881718307273e-05,0,128.99992663216753,86.87,load,63.0,86.87,55.25,17.5,7.531752202962863e-05,2018-06-02 13:00:00
66,8.080063138935163e-08,45.0,gen,3.3496238437747274e-05,0,299.9999817613194,79.57,load,63.0,79.57,45.0,18.7728,129.00009340850676,2018-06-02 13:30:00
